motionName,frameNumber,speedX,speedY,hitAreaLeft,hitAreaRight,hitAreaUp,hitAreaDown,state,attack.hitAreaLeft,attack.hitAreaRight,attack.hitAreaUp,attack.hitAreaDown,attack.speedX,attack.speedY,attack.StartUp,attack.Active,attack.HitDamage,attack.GuardDamage,attack.StartAddEnergy,attack.HitAddEnergy,attack.GuardAddEnergy,attack.GiveEnergy,attack.ImpactX,attack.ImpactY,attack.GiveGuardRecov,attack.AttackType,attack.DownProp,cancelAbleFrame,cancelAbleMotionLevel,motionLevel,control,landingFlag,Image
NEUTRAL,6,0,0,170,230,100,305,STAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,TRUE,FALSE,STAND
STAND,49,0,0,170,230,100,305,STAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,TRUE,FALSE,STAND
FORWARD_WALK,35,5,0,170,230,100,305,STAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,TRUE,FALSE,FORWARD_WALK
DASH,29,10,0,170,230,100,305,STAND,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,-1,-1,10,TRUE,FALSE,DASH
BACK_STEP,25,-15,0,170,230,100,305,STAND,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,FALSE,-1,-1,2,FALSE,FALSE,BACK_STEP
CROUCH,83,0,0,170,230,140,305,CROUCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,TRUE,FALSE,CROUCH
JUMP,4,0,-25,170,230,100,305,AIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,4,FALSE,FALSE,JUMP
FOR_JUMP,4,7,-25,170,230,100,305,AIR,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,FALSE,-1,-1,4,FALSE,FALSE,FOR_JUMP
BACK_JUMP,4,-7,-25,170,230,100,305,AIR,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,FALSE,-1,-1,4,FALSE,FALSE,BACK_JUMP
AIR,21,0,0,170,230,100,305,AIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,TRUE,TRUE,AIR
STAND_GUARD,23,0,0,170,230,100,305,STAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,TRUE,FALSE,STAND_GUARD
CROUCH_GUARD,23,0,0,170,230,140,305,CROUCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,TRUE,FALSE,CROUCH_GUARD
AIR_GUARD,6,0,0,170,230,100,305,AIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,TRUE,TRUE,AIR_GUARD
STAND_GUARD_RECOV,6,0,0,170,230,100,305,STAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,FALSE,FALSE,STAND_GUARD_RECOV
CROUCH_GUARD_RECOV,6,0,0,170,230,140,305,CROUCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,FALSE,FALSE,CROUCH_GUARD_RECOV
AIR_GUARD_RECOV,6,0,0,170,230,100,305,AIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,FALSE,TRUE,AIR_GUARD_RECOV
STAND_RECOV,28,0,0,170,230,100,305,STAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1,-1,10,FALSE,FALSE,STAND_RECOV
